Name,Profile,bill or visor Shape,Panel Count,priceTier,Structure Type,Nick Names
4P Visor Cap MSCS,Mid,Slight Curved,4-Panel,Tier 1,Structured with Mono Lining,"Baseball Style, Classic Fit, Curved Bill, Fitted Cap, Mid Crown, Sport Visor, Structured Cap, Sun Visor, Tennis Visor"
5P Urban Classic HFS,High,Flat,5-Panel,Tier 1,Structured with Mono Lining,"Camper Hat, Fitted Cap, Flatbill, High Crown, New Era 9FIFTY, Pro Fit, Snapback, Street Hat, Structured Cap, Urban Cap"
5P Heritage Five HFU,High,Flat,5-Panel,Tier 1,"Unstructured, No Lining","Camper Hat, Chino Cap, Dad Hat, Flatbill, High Crown, New Era 9FIFTY, Pro Fit, Snapback, Street Hat, Unstructured Cap, Urban Cap"
5P StreetFrame HFF,High,Flat,5-Panel,Tier 1,"Foam, Soft Hybrid","Flatbill, Foam Cap, Foam Front Cap, High Crown, New Era 9FIFTY, Pro Fit, Retro Mesh Cap, Snapback, Trucker Hat"
5P Urban Classic HSCS,High,Slight Curved,5-Panel,Tier 1,Structured with Mono Lining,"Baseball Style, Camper Hat, Curved Bill, Fitted Cap, High Crown, Pro Fit, Street Hat, Structured Cap, Urban Cap"
5P Heritage Five HSCU,High,Slight Curved,5-Panel,Tier 1,"Unstructured, No Lining","Baseball Style, Camper Hat, Chino Cap, Curved Bill, Dad Hat, High Crown, Pro Fit, Street Hat, Unstructured Cap, Urban Cap"
5P Heritage Five HSCF,High,Slight Curved,5-Panel,Tier 1,"Foam, Soft Hybrid","Baseball Style, Curved Bill, Foam Cap, Foam Front Cap, High Crown, Pro Fit, Retro Mesh Cap, Trucker Hat"
5P Urban Classic HCS,High,Curved,5-Panel,Tier 1,Structured with Mono Lining,"Baseball Style, Camper Hat, Curved Bill, Fitted Cap, High Crown, Pro Fit, Street Hat, Structured Cap, Urban Cap"
5P Heritage Five HCU,High,Curved,5-Panel,Tier 1,"Unstructured, No Lining","Baseball Style, Camper Hat, Chino Cap, Curved Bill, Dad Hat, High Crown, Pro Fit, Street Hat, Unstructured Cap, Urban Cap"
5P StreetFrame HCF,High,Curved,5-Panel,Tier 1,"Foam, Soft Hybrid","Baseball Style, Curved Bill, Foam Cap, Foam Front Cap, High Crown, Pro Fit, Retro Mesh Cap, Trucker Hat"
5P Urban Classic MFS,Mid,Flat,5-Panel,Tier 1,Structured with Mono Lining,"Camper Hat, Classic Fit, Fitted Cap, Flatbill, Mid Crown, New Era 9FIFTY, Snapback, Street Hat, Structured Cap, Urban Cap"
5P Urban Classic MFU,Mid,Flat,5-Panel,Tier 1,"Unstructured, No Lining","Camper Hat, Chino Cap, Classic Fit, Dad Hat, Flatbill, Mid Crown, New Era 9FIFTY, Snapback, Street Hat, Unstructured Cap, Urban Cap"
5P Heritage Five MFF,Mid,Flat,5-Panel,Tier 1,"Foam, Soft Hybrid","Classic Fit, Flatbill, Foam Cap, Foam Front Cap, Mid Crown, New Era 9FIFTY, Retro Mesh Cap, Snapback, Trucker Hat"
5P StreetFrame MSCS,Mid,Slight Curved,5-Panel,Tier 1,Structured with Mono Lining,"Baseball Style, Camper Hat, Classic Fit, Curved Bill, Fitted Cap, Mid Crown, Street Hat, Structured Cap, Urban Cap"
5P StreetFrame MSCU,Mid,Slight Curved,5-Panel,Tier 1,"Unstructured, No Lining","Baseball Style, Camper Hat, Chino Cap, Classic Fit, Curved Bill, Dad Hat, Mid Crown, Street Hat, Unstructured Cap, Urban Cap"
5P StreetFrame MSCF,Mid,Slight Curved,5-Panel,Tier 1,"Foam, Soft Hybrid","Baseball Style, Classic Fit, Curved Bill, Foam Cap, Foam Front Cap, Mid Crown, Retro Mesh Cap, Trucker Hat"
5P Heritage Five MCS,Mid,Curved,5-Panel,Tier 1,Structured with Mono Lining,"Baseball Style, Camper Hat, Classic Fit, Curved Bill, Fitted Cap, Mid Crown, Street Hat, Structured Cap, Urban Cap"
5P Heritage Five MCU,Mid,Curved,5-Panel,Tier 1,"Unstructured, No Lining","Baseball Style, Camper Hat, Chino Cap, Classic Fit, Curved Bill, Dad Hat, Mid Crown, Street Hat, Unstructured Cap, Urban Cap"
5P StreetFrame MCF,Mid,Curved,5-Panel,Tier 1,"Foam, Soft Hybrid","Baseball Style, Classic Fit, Curved Bill, Foam Cap, Foam Front Cap, Mid Crown, Retro Mesh Cap, Trucker Hat"
